feature,mi,monosemanticity,dominant_emotion
3796,0.008072486227199154,0.5501416325569153,anger
6067,0.007897261626518626,0.581048846244812,anger
630,0.007820267802412037,0.5443264842033386,anger
5516,0.007779238836701827,0.5768992900848389,anger
6668,0.007745240598299679,0.5853264331817627,disgust
4276,0.007683879735453664,0.5460026264190674,anger
7877,0.007681332196587376,0.5871947407722473,anger
2531,0.0076707653695555515,0.511379599571228,anger
1214,0.007652080660803212,0.5453730225563049,disgust
2859,0.007607741038095186,0.5697050094604492,anger
3203,0.007527210619520048,0.5517722368240356,neutral
3270,0.0074765620004178,0.5712811946868896,fear
2030,0.007456649969482999,0.5028378963470459,anger
3810,0.007250308434831244,0.5325900316238403,disgust
190,0.0072357150852720535,0.5354659557342529,anger
7136,0.007183237263711644,0.7624008655548096,anger
6089,0.007131889388894379,0.5082949995994568,anger
2358,0.007076261710756352,0.5811867713928223,anger
4083,0.006917791730180405,0.5279663801193237,anger
5887,0.006865649783939333,0.5241822600364685,disgust
3819,0.0068093568255675595,0.6434715986251831,anger
3583,0.006802683444217701,0.5843159556388855,disgust
6557,0.0068016501480352275,0.5283821821212769,sadness
2192,0.006733979054733691,0.6198381185531616,anger
3123,0.00662011250456325,0.5716078281402588,disgust
7220,0.006618747873767522,0.5893466472625732,disgust
4003,0.006603448354196207,0.560263991355896,anger
6826,0.006582582201638702,0.5126094222068787,disgust
3993,0.00646300411201778,0.5315579771995544,disgust
527,0.00641075704179591,0.5627769231796265,anger
7164,0.0062040474747798655,0.5357009172439575,disgust
2462,0.006119736232626834,0.6759465932846069,disgust
4347,0.00608197344082167,0.6186112761497498,disgust
1470,0.006058685978093602,0.5221468210220337,anger
6048,0.005925420743437722,0.5260257720947266,anger
2287,0.005681129269664052,0.5132396221160889,anger
5615,0.005610087990873712,0.5368556380271912,anger
4611,0.005573148264767892,0.540057361125946,anger
1163,0.005554434623071156,0.6937659382820129,anger
1286,0.005545802569158669,0.5532042384147644,anger
186,0.005528549119855829,0.6477218270301819,disgust
3777,0.005440522870595843,0.6143320202827454,disgust
8186,0.005415371629867168,0.6067640781402588,disgust
6072,0.005414860411629991,0.5059048533439636,anger
1248,0.005361668082098495,0.6692160964012146,anger
8137,0.005343343070401106,0.5448589324951172,happiness
83,0.005288240203725524,0.5300800800323486,anger
6345,0.005277562084956758,0.576531708240509,anger
7355,0.005263181694899432,0.6948627829551697,disgust
4437,0.005219449781064789,0.5452732443809509,anger
3087,0.005198633673662464,0.594204843044281,anger
3821,0.0051828802905359685,0.5522198677062988,anger
3673,0.0051598219597456555,0.6099754571914673,disgust
5004,0.0051126735932500575,0.5429986715316772,fear
6104,0.005100079495158368,0.5234517455101013,anger
2118,0.005093561687745888,0.6560454368591309,anger
7096,0.0050878361354109655,0.6488602757453918,anger
4286,0.005074095907099177,0.5257992744445801,disgust
1591,0.005054019322476819,0.5748738050460815,anger
7757,0.005003062933909513,0.5137147307395935,anger
4609,0.004978318861777816,0.8846907615661621,disgust
3528,0.004877302805048953,0.6421866416931152,anger
3127,0.0047424137130942096,0.5939112305641174,happiness
